,tick,ctrlGeo.cmd_thrust_x,ctrlGeo.safe_thrust_x,ctrlGeo.log_state_x,ctrlGeo.log_state_y,ctrlGeo.log_state_z,ctrlGeo.log_state_vx,ctrlGeo.log_state_cov_x,ctrlGeo.log_state_cov_vx,ctrlGeo.log_h
5361,26858.0,-0.0,-0.0,0.7455143928527832,0.3679444193840027,-2.9612371921539307,-0.21383246779441833,0.0004866775998380035,0.0023989235050976276,-1.0137394666671753
5362,26862.0,-0.0,-0.0,0.7432731986045837,0.36154091358184814,-3.0160229206085205,-0.22429390251636505,0.0005012829205952585,0.0024239218328148127,-0.9920721054077148
5363,26867.0,-0.0,-0.0,0.7432731986045837,0.36154091358184814,-3.0160229206085205,-0.22429390251636505,0.0005012833862565458,0.002425131620839238,-0.9920721054077148
5364,26870.0,-0.0,-0.0,0.7432731986045837,0.36154091358184814,-3.0160229206085205,-0.22429390251636505,0.0005012837937101722,0.002426838967949152,-0.9920721054077148
5365,26874.0,-0.0,-0.0,0.7409682273864746,0.35493263602256775,-3.0708658695220947,-0.2266094833612442,0.0005161985754966736,0.002455044537782669,-0.97823166847229
5366,26879.0,-0.0,-0.0,0.7409682273864746,0.35493263602256775,-3.0708658695220947,-0.2266094833612442,0.0005161990993656218,0.0024570543318986893,-0.97823166847229
5367,26883.0,-0.0,-0.0,0.7386509776115417,0.34809964895248413,-3.125746726989746,-0.22668451070785522,0.0005314316949807107,0.002490644110366702,-0.9665703773498535
5368,26888.0,-0.0,-0.0,0.7386509776115417,0.34809964895248413,-3.125746726989746,-0.22668451070785522,0.000531432218849659,0.0024926539044827223,-0.9665703773498535
5369,26892.0,-0.0,-0.0,0.7362924814224243,0.3410544693470001,-3.1806743144989014,-0.2348874807357788,0.0005469921743497252,0.0025277375243604183,-0.9465749263763428
5370,26897.0,-0.0,-0.0,0.7362924814224243,0.3410544693470001,-3.1806743144989014,-0.2348874807357788,0.0005469926400110126,0.002528947312384844,-0.9465749263763428
5371,26901.0,-0.0,-0.0,0.7362924814224243,0.3410544693470001,-3.1806743144989014,-0.2348874807357788,0.0005469931638799608,0.002530957106500864,-0.9465749263763428
5372,26905.0,-0.0,-0.0,0.7338283061981201,0.333814799785614,-3.235670566558838,-0.24781236052513123,0.0005628849612548947,0.0025664367713034153,-0.921329140663147
5373,26910.0,-0.0,-0.0,0.7338283061981201,0.333814799785614,-3.235670566558838,-0.24781236052513123,0.000562885485123843,0.0025684465654194355,-0.921329140663147
5374,26914.0,-0.0,-0.0,0.7312334775924683,0.3263874650001526,-3.290745258331299,-0.26101434230804443,0.0005791131407022476,0.0026037804782390594,-0.8951530456542969
5375,26919.0,-0.0,-0.0,0.7312334775924683,0.3263874650001526,-3.290745258331299,-0.26101434230804443,0.0005791136645711958,0.0026057902723550797,-0.8951530456542969
5376,26922.0,-0.0,-0.0,0.7285084128379822,0.31877243518829346,-3.3459012508392334,-0.2738584578037262,0.0005956817767582834,0.0026405153330415487,-0.8686835765838623
5377,26927.0,-0.0,-0.0,0.7285084128379822,0.31877243518829346,-3.3459012508392334,-0.2738584578037262,0.0005956822424195707,0.0026417251210659742,-0.8686835765838623
5378,26931.0,-0.0,-0.0,0.7285084128379822,0.31877243518829346,-3.3459012508392334,-0.2738584578037262,0.0005956827662885189,0.0026437349151819944,-0.8686835765838623
5379,26935.0,-0.0,-0.0,0.7256547808647156,0.3109683394432068,-3.401139974594116,-0.2867005467414856,0.0006125961663201451,0.0026789347175508738,-0.8415733575820923
5380,26940.0,-0.0,-0.0,0.7256547808647156,0.3109683394432068,-3.401139974594116,-0.2867005467414856,0.0006125966901890934,0.002680944511666894,-0.8415733575820923
5381,26944.0,-0.0,-0.0,0.7226725220680237,0.30297380685806274,-3.4564614295959473,-0.29958289861679077,0.0006298605585470796,0.0027160586323589087,-0.8137797117233276
5382,26949.0,-0.0,-0.0,0.7226725220680237,0.30297380685806274,-3.4564614295959473,-0.29958289861679077,0.0006298610824160278,0.002718068426474929,-0.8137797117233276
5383,26953.0,-0.0,-0.0,0.7195605039596558,0.2947882413864136,-3.511866331100464,-0.3126407563686371,0.0006474805995821953,0.0027534738183021545,-0.7851617336273193
5384,26958.0,-0.0,-0.0,0.7195605039596558,0.2947882413864136,-3.511866331100464,-0.3126407563686371,0.0006474810652434826,0.002755981171503663,-0.7851617336273193
5385,26962.0,-0.0,-0.0,0.7163164019584656,0.2864116430282593,-3.567355155944824,-0.32599085569381714,0.0006654615281149745,0.002792054321616888,-0.7555911540985107
5386,26967.0,-0.0,-0.0,0.7163164019584656,0.2864116430282593,-3.567355155944824,-0.32599085569381714,0.0006654619937762618,0.0027945616748183966,-0.7555911540985107
5387,26971.0,-0.0,-0.0,0.7129391431808472,0.27784308791160583,-3.6229283809661865,-0.33926331996917725,0.0006838098051957786,0.0028303489089012146,-0.7254323959350586
5388,26976.0,-0.0,-0.0,0.7129391431808472,0.27784308791160583,-3.6229283809661865,-0.33926331996917725,0.0006838102708570659,0.00283155869692564,-0.7254323959350586
5389,26981.0,-0.0,-0.0,0.7129391431808472,0.27784308791160583,-3.6229283809661865,-0.33926331996917725,0.0006838107947260141,0.0028335684910416603,-0.7254323959350586
5390,26985.0,-0.0,-0.0,0.7094287872314453,0.26908209919929504,-3.678586483001709,-0.3525926172733307,0.0007025314844213426,0.002868430456146598,-0.6945513486862183
5391,26990.0,-0.0,-0.0,0.7094287872314453,0.26908209919929504,-3.678586483001709,-0.3525926172733307,0.0007025320082902908,0.002870440250262618,-0.6945513486862183
5392,26994.0,-0.0,-0.0,0.7057837843894958,0.26012876629829407,-3.734330892562866,-0.36618849635124207,0.000721630931366235,0.0029053310863673687,-0.6627304553985596
5393,26999.0,-0.0,-0.0,0.7057837843894958,0.26012876629829407,-3.734330892562866,-0.36618849635124207,0.0007216313970275223,0.002906540874391794,-0.6627304553985596
5394,27003.0,-0.0,-0.0,0.702002227306366,0.25098246335983276,-3.790163516998291,-0.37989023327827454,0.0007411142578348517,0.0029421059880405664,-0.6301208734512329
5395,27007.0,-0.0,-0.0,0.702002227306366,0.25098246335983276,-3.790163516998291,-0.37989023327827454,0.000741114723496139,0.002943315776064992,-0.6301208734512329
5396,27012.0,-0.0,-0.0,0.6980828046798706,0.2416425198316574,-3.8460848331451416,-0.39375796914100647,0.0007609868189319968,0.0029787004459649324,-0.596656084060669
5397,27016.0,-0.0,-0.0,0.6980828046798706,0.2416425198316574,-3.8460848331451416,-0.39375796914100647,0.0007609872845932841,0.002979910233989358,-0.596656084060669
5398,27021.0,-0.0,-0.0,0.6980828046798706,0.2416425198316574,-3.8460848331451416,-0.39375796914100647,0.0007609878084622324,0.002981920028105378,-0.596656084060669
5399,27025.0,-0.0,-0.0,0.6940240859985352,0.2321084588766098,-3.902094841003418,-0.4077361822128296,0.0007812549010850489,0.003016368020325899,-0.5623842477798462
5400,27030.0,-0.0,-0.0,0.6940240859985352,0.2321084588766098,-3.902094841003418,-0.4077361822128296,0.0007812554249539971,0.0030183778144419193,-0.5623842477798462
5401,27034.0,-0.0,-0.0,0.6898243427276611,0.22237947583198547,-3.9581949710845947,-0.42194730043411255,0.000801923219114542,0.0030526360496878624,-0.5271744132041931
5402,27039.0,-0.0,-0.0,0.6898243427276611,0.22237947583198547,-3.9581949710845947,-0.42194730043411255,0.0008019236847758293,0.003053845837712288,-0.5271744132041931
5403,27043.0,-0.0,-0.0,0.6854813098907471,0.2124556601047516,-4.0143866539001465,-0.4363832175731659,0.0008229977684095502,0.0030885778833180666,-0.49102333188056946
5404,27047.0,-0.0,-0.0,0.6854813098907471,0.2124556601047516,-4.0143866539001465,-0.4363832175731659,0.0008229982340708375,0.003089787671342492,-0.49102333188056946
5405,27051.0,-0.0,-0.0,0.6854813098907471,0.2124556601047516,-4.0143866539001465,-0.4363832175731659,0.0008229986997321248,0.0030909974593669176,-0.49102333188056946
5406,27055.0,-0.0,-0.0,0.6809931993484497,0.20233727991580963,-4.070672035217285,-0.4509439766407013,0.0008444846025668085,0.0031245858408510685,-0.45402202010154724
5407,27060.0,-0.0,-0.0,0.6809931993484497,0.20233727991580963,-4.070672035217285,-0.4509439766407013,0.0008444851264357567,0.0031265956349670887,-0.45402202010154724
5408,27064.0,-0.0,-0.0,0.6763579249382019,0.1920238733291626,-4.1270527839660645,-0.4658072590827942,0.0008663884946145117,0.0031597325578331947,-0.41598236560821533
5409,27069.0,-0.0,-0.0,0.6763579249382019,0.1920238733291626,-4.1270527839660645,-0.4658072590827942,0.000866388960275799,0.0031609423458576202,-0.41598236560821533
5410,27073.0,-0.0,-0.0,0.6715723276138306,0.18151502311229706,-4.183529853820801,-0.48100510239601135,0.0008887160220183432,0.0031943556386977434,-0.3768565356731415
5411,27077.0,-0.0,-0.0,0.6715723276138306,0.18151502311229706,-4.183529853820801,-0.48100510239601135,0.0008887164876796305,0.003195565426722169,-0.3768565356731415
5412,27082.0,-0.0,-0.0,0.6666337847709656,0.17080992460250854,-4.240103721618652,-0.4963766634464264,0.0009114728891290724,0.003228429239243269,-0.3367922604084015
5413,27086.0,-0.0,-0.0,0.6666337847709656,0.17080992460250854,-4.240103721618652,-0.4963766634464264,0.0009114733547903597,0.0032296390272676945,-0.3367922604084015
5414,27091.0,-0.0,-0.0,0.6666337847709656,0.17080992460250854,-4.240103721618652,-0.4963766634464264,0.000911473878659308,0.0032316488213837147,-0.3367922604084015
5415,27095.0,-0.0,-0.0,0.6615408658981323,0.15990805625915527,-4.296776294708252,-0.5118764042854309,0.0009346656734123826,0.0032629896886646748,-0.2958279252052307
